code;name;gen_cat;comb_cls;bidi_cat;dec_map;dec_dig_val;dig_val;num_val;mir;one_name;cmt;uc;lc;tc
44112;HANGUL SYLLABLE GYAK;Lo;0;L;;;;;N;;;;;
44113;HANGUL SYLLABLE GYAT;Lo;0;L;;;;;N;;;;;
44114;HANGUL SYLLABLE GYAP;Lo;0;L;;;;;N;;;;;
44115;HANGUL SYLLABLE GYAH;Lo;0;L;;;;;N;;;;;
44116;HANGUL SYLLABLE GYAE;Lo;0;L;;;;;N;;;;;
44117;HANGUL SYLLABLE GYAEG;Lo;0;L;;;;;N;;;;;
44118;HANGUL SYLLABLE GYAEGG;Lo;0;L;;;;;N;;;;;
44119;HANGUL SYLLABLE GYAEGS;Lo;0;L;;;;;N;;;;;
44120;HANGUL SYLLABLE GYAEN;Lo;0;L;;;;;N;;;;;
44121;HANGUL SYLLABLE GYAENJ;Lo;0;L;;;;;N;;;;;
44122;HANGUL SYLLABLE GYAENH;Lo;0;L;;;;;N;;;;;
44123;HANGUL SYLLABLE GYAED;Lo;0;L;;;;;N;;;;;
44124;HANGUL SYLLABLE GYAEL;Lo;0;L;;;;;N;;;;;
44125;HANGUL SYLLABLE GYAELG;Lo;0;L;;;;;N;;;;;
44126;HANGUL SYLLABLE GYAELM;Lo;0;L;;;;;N;;;;;
44127;HANGUL SYLLABLE GYAELB;Lo;0;L;;;;;N;;;;;
44128;HANGUL SYLLABLE GYAELS;Lo;0;L;;;;;N;;;;;
44129;HANGUL SYLLABLE GYAELT;Lo;0;L;;;;;N;;;;;
44130;HANGUL SYLLABLE GYAELP;Lo;0;L;;;;;N;;;;;
44131;HANGUL SYLLABLE GYAELH;Lo;0;L;;;;;N;;;;;
44132;HANGUL SYLLABLE GYAEM;Lo;0;L;;;;;N;;;;;
44133;HANGUL SYLLABLE GYAEB;Lo;0;L;;;;;N;;;;;
44134;HANGUL SYLLABLE GYAEBS;Lo;0;L;;;;;N;;;;;
44135;HANGUL SYLLABLE GYAES;Lo;0;L;;;;;N;;;;;
44136;HANGUL SYLLABLE GYAESS;Lo;0;L;;;;;N;;;;;
44137;HANGUL SYLLABLE GYAENG;Lo;0;L;;;;;N;;;;;
44138;HANGUL SYLLABLE GYAEJ;Lo;0;L;;;;;N;;;;;
44139;HANGUL SYLLABLE GYAEC;Lo;0;L;;;;;N;;;;;
44140;HANGUL SYLLABLE GYAEK;Lo;0;L;;;;;N;;;;;
44141;HANGUL SYLLABLE GYAET;Lo;0;L;;;;;N;;;;;
44142;HANGUL SYLLABLE GYAEP;Lo;0;L;;;;;N;;;;;
44143;HANGUL SYLLABLE GYAEH;Lo;0;L;;;;;N;;;;;
44144;HANGUL SYLLABLE GEO;Lo;0;L;;;;;N;;;;;
44145;HANGUL SYLLABLE GEOG;Lo;0;L;;;;;N;;;;;
44146;HANGUL SYLLABLE GEOGG;Lo;0;L;;;;;N;;;;;
44147;HANGUL SYLLABLE GEOGS;Lo;0;L;;;;;N;;;;;
44148;HANGUL SYLLABLE GEON;Lo;0;L;;;;;N;;;;;
44149;HANGUL SYLLABLE GEONJ;Lo;0;L;;;;;N;;;;;
44150;HANGUL SYLLABLE GEONH;Lo;0;L;;;;;N;;;;;
44151;HANGUL SYLLABLE GEOD;Lo;0;L;;;;;N;;;;;
44152;HANGUL SYLLABLE GEOL;Lo;0;L;;;;;N;;;;;
44153;HANGUL SYLLABLE GEOLG;Lo;0;L;;;;;N;;;;;
44154;HANGUL SYLLABLE GEOLM;Lo;0;L;;;;;N;;;;;
44155;HANGUL SYLLABLE GEOLB;Lo;0;L;;;;;N;;;;;
44156;HANGUL SYLLABLE GEOLS;Lo;0;L;;;;;N;;;;;
44157;HANGUL SYLLABLE GEOLT;Lo;0;L;;;;;N;;;;;
44158;HANGUL SYLLABLE GEOLP;Lo;0;L;;;;;N;;;;;
44159;HANGUL SYLLABLE GEOLH;Lo;0;L;;;;;N;;;;;
44160;HANGUL SYLLABLE GEOM;Lo;0;L;;;;;N;;;;;
44161;HANGUL SYLLABLE GEOB;Lo;0;L;;;;;N;;;;;
44162;HANGUL SYLLABLE GEOBS;Lo;0;L;;;;;N;;;;;
44163;HANGUL SYLLABLE GEOS;Lo;0;L;;;;;N;;;;;
44164;HANGUL SYLLABLE GEOSS;Lo;0;L;;;;;N;;;;;
44165;HANGUL SYLLABLE GEONG;Lo;0;L;;;;;N;;;;;
44166;HANGUL SYLLABLE GEOJ;Lo;0;L;;;;;N;;;;;
44167;HANGUL SYLLABLE GEOC;Lo;0;L;;;;;N;;;;;
44168;HANGUL SYLLABLE GEOK;Lo;0;L;;;;;N;;;;;
44169;HANGUL SYLLABLE GEOT;Lo;0;L;;;;;N;;;;;
44170;HANGUL SYLLABLE GEOP;Lo;0;L;;;;;N;;;;;
44171;HANGUL SYLLABLE GEOH;Lo;0;L;;;;;N;;;;;
44172;HANGUL SYLLABLE GE;Lo;0;L;;;;;N;;;;;
44173;HANGUL SYLLABLE GEG;Lo;0;L;;;;;N;;;;;
44174;HANGUL SYLLABLE GEGG;Lo;0;L;;;;;N;;;;;
44175;HANGUL SYLLABLE GEGS;Lo;0;L;;;;;N;;;;;
44176;HANGUL SYLLABLE GEN;Lo;0;L;;;;;N;;;;;
44177;HANGUL SYLLABLE GENJ;Lo;0;L;;;;;N;;;;;
44178;HANGUL SYLLABLE GENH;Lo;0;L;;;;;N;;;;;
44179;HANGUL SYLLABLE GED;Lo;0;L;;;;;N;;;;;
44180;HANGUL SYLLABLE GEL;Lo;0;L;;;;;N;;;;;
44181;HANGUL SYLLABLE GELG;Lo;0;L;;;;;N;;;;;
44182;HANGUL SYLLABLE GELM;Lo;0;L;;;;;N;;;;;
44183;HANGUL SYLLABLE GELB;Lo;0;L;;;;;N;;;;;
44184;HANGUL SYLLABLE GELS;Lo;0;L;;;;;N;;;;;
44185;HANGUL SYLLABLE GELT;Lo;0;L;;;;;N;;;;;
44186;HANGUL SYLLABLE GELP;Lo;0;L;;;;;N;;;;;
44187;HANGUL SYLLABLE GELH;Lo;0;L;;;;;N;;;;;
44188;HANGUL SYLLABLE GEM;Lo;0;L;;;;;N;;;;;
44189;HANGUL SYLLABLE GEB;Lo;0;L;;;;;N;;;;;
44190;HANGUL SYLLABLE GEBS;Lo;0;L;;;;;N;;;;;
44191;HANGUL SYLLABLE GES;Lo;0;L;;;;;N;;;;;
44192;HANGUL SYLLABLE GESS;Lo;0;L;;;;;N;;;;;
44193;HANGUL SYLLABLE GENG;Lo;0;L;;;;;N;;;;;
44194;HANGUL SYLLABLE GEJ;Lo;0;L;;;;;N;;;;;
44195;HANGUL SYLLABLE GEC;Lo;0;L;;;;;N;;;;;
44196;HANGUL SYLLABLE GEK;Lo;0;L;;;;;N;;;;;
44197;HANGUL SYLLABLE GET;Lo;0;L;;;;;N;;;;;
44198;HANGUL SYLLABLE GEP;Lo;0;L;;;;;N;;;;;
44199;HANGUL SYLLABLE GEH;Lo;0;L;;;;;N;;;;;
44200;HANGUL SYLLABLE GYEO;Lo;0;L;;;;;N;;;;;
44201;HANGUL SYLLABLE GYEOG;Lo;0;L;;;;;N;;;;;
44202;HANGUL SYLLABLE GYEOGG;Lo;0;L;;;;;N;;;;;
44203;HANGUL SYLLABLE GYEOGS;Lo;0;L;;;;;N;;;;;
44204;HANGUL SYLLABLE GYEON;Lo;0;L;;;;;N;;;;;
44205;HANGUL SYLLABLE GYEONJ;Lo;0;L;;;;;N;;;;;
44206;HANGUL SYLLABLE GYEONH;Lo;0;L;;;;;N;;;;;
44207;HANGUL SYLLABLE GYEOD;Lo;0;L;;;;;N;;;;;
44208;HANGUL SYLLABLE GYEOL;Lo;0;L;;;;;N;;;;;
44209;HANGUL SYLLABLE GYEOLG;Lo;0;L;;;;;N;;;;;
44210;HANGUL SYLLABLE GYEOLM;Lo;0;L;;;;;N;;;;;
44211;HANGUL SYLLABLE GYEOLB;Lo;0;L;;;;;N;;;;;
44212;HANGUL SYLLABLE GYEOLS;Lo;0;L;;;;;N;;;;;
44213;HANGUL SYLLABLE GYEOLT;Lo;0;L;;;;;N;;;;;
44214;HANGUL SYLLABLE GYEOLP;Lo;0;L;;;;;N;;;;;
44215;HANGUL SYLLABLE GYEOLH;Lo;0;L;;;;;N;;;;;
44216;HANGUL SYLLABLE GYEOM;Lo;0;L;;;;;N;;;;;
44217;HANGUL SYLLABLE GYEOB;Lo;0;L;;;;;N;;;;;
44218;HANGUL SYLLABLE GYEOBS;Lo;0;L;;;;;N;;;;;
44219;HANGUL SYLLABLE GYEOS;Lo;0;L;;;;;N;;;;;
